week,industry,report_count,methods,n_methods,severity_score
2017-03-20,Cosmetics,296,zscore+cusum+isolation_forest,3,69.705
2007-09-10,Nuts/Edible Seed,110,zscore+cusum+isolation_forest,3,38.476
2009-06-29,Bakery Prod/Dough/Mix/Icing,18,zscore+cusum+isolation_forest,3,35.593
2013-09-23,Milk/Butter/Dried Milk Prod,118,zscore+cusum+isolation_forest,3,34.877
2009-09-28,Bakery Prod/Dough/Mix/Icing,17,zscore+cusum+isolation_forest,3,29.292
2012-06-25,"Spices, Flavors And Salts",29,zscore+cusum+isolation_forest,3,22.206
2015-04-27,Ice Cream Prod,19,zscore+cusum+isolation_forest,3,18.977
2012-06-25,"Meat, Meat Products and Poultry",29,zscore+cusum+isolation_forest,3,18.353
2010-11-01,Macaroni/Noodle Prod,6,zscore+cusum+isolation_forest,3,17.032
2015-04-13,Mult Food Dinner/Grav/Sauce/Special,52,zscore+cusum+isolation_forest,3,16.498
2012-06-25,Vegetables/Vegetable Products,65,zscore+cusum+isolation_forest,3,15.188
2004-04-12,Mult Food Dinner/Grav/Sauce/Special,19,zscore+cusum+isolation_forest,3,15.15
2015-04-13,Ice Cream Prod,15,zscore+cusum+isolation_forest,3,10.333
2009-06-29,Nuts/Edible Seed,61,zscore+cusum+isolation_forest,3,10.181
2009-02-02,Choc/Cocoa Prod,8,zscore+cusum+isolation_forest,3,8.666
2009-06-29,Fruit/Fruit Prod,26,zscore+cusum+isolation_forest,3,8.462
2013-09-23,Vit/Min/Prot/Unconv Diet(Human/Animal),251,zscore+cusum+isolation_forest,3,7.493
2004-12-20,Fishery/Seafood Prod,25,zscore+cusum+isolation_forest,3,7.102
2011-10-24,Beverage Bases/Conc/Nectar,6,zscore+cusum+isolation_forest,3,6.856
2004-08-30,Candy W/O Choc/Special/Chew Gum,9,zscore+cusum+isolation_forest,3,6.083
2009-11-09,Candy W/O Choc/Special/Chew Gum,8,zscore+cusum+isolation_forest,3,5.492
2015-10-19,Dietary Conv Food/Meal Replacements,15,zscore+cusum+isolation_forest,3,4.048
2017-02-20,Cosmetics,155,cusum+isolation_forest,2,62.327
2016-12-05,Cosmetics,153,cusum+isolation_forest,2,52.658
2017-01-09,Vegetables/Vegetable Products,62,zscore+cusum,2,47.476
2017-04-17,Vegetables/Vegetable Products,173,zscore+cusum,2,38.52
2009-03-02,Bakery Prod/Dough/Mix/Icing,19,cusum+isolation_forest,2,37.911
2015-10-19,Cereal Prep/Breakfast Food,26,cusum+isolation_forest,2,37.416
2013-10-28,Milk/Butter/Dried Milk Prod,8,cusum+isolation_forest,2,37.05
2009-08-17,Bakery Prod/Dough/Mix/Icing,8,cusum+isolation_forest,2,33.056
2009-10-05,Bakery Prod/Dough/Mix/Icing,13,cusum+isolation_forest,2,29.963
2007-12-10,Nuts/Edible Seed,29,cusum+isolation_forest,2,29.471
2009-11-09,Bakery Prod/Dough/Mix/Icing,12,cusum+isolation_forest,2,28.866
2017-03-20,Vegetables/Vegetable Products,1,cusum+isolation_forest,2,27.921
2017-02-13,Vegetables/Vegetable Products,130,zscore+cusum,2,27.515
2015-10-05,Cereal Prep/Breakfast Food,34,cusum+isolation_forest,2,27.211
2009-01-26,Bakery Prod/Dough/Mix/Icing,101,zscore+cusum,2,27.032
2016-12-05,Vit/Min/Prot/Unconv Diet(Human/Animal),207,cusum+isolation_forest,2,26.456
2009-02-02,Bakery Prod/Dough/Mix/Icing,55,cusum+isolation_forest,2,25.949
2007-08-27,Nuts/Edible Seed,95,zscore+cusum,2,25.076
2015-06-01,Ice Cream Prod,8,cusum+isolation_forest,2,24.446
2017-02-20,Vit/Min/Prot/Unconv Diet(Human/Animal),124,cusum+isolation_forest,2,23.868
2017-03-20,Vit/Min/Prot/Unconv Diet(Human/Animal),130,cusum+isolation_forest,2,23.716
2015-06-01,Mult Food Dinner/Grav/Sauce/Special,5,cusum+isolation_forest,2,23.672
2009-01-05,Baby Food Prod,17,zscore+cusum,2,23.541
2015-09-28,Cereal Prep/Breakfast Food,78,zscore+cusum,2,22.476
2013-09-16,Milk/Butter/Dried Milk Prod,119,zscore+cusum,2,21.952
2010-09-27,Baby Food Prod,21,zscore+cusum,2,21.781
2015-04-06,Ice Cream Prod,11,zscore+cusum,2,21.558
