month,industry,model,forecast,lower,upper
2017-07-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,839.1576187070657,734.6616509530771,937.2585668389303
2017-08-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,1073.33730839429,968.5302395801539,1175.7282785456957
2017-09-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,800.7279108277559,703.1588283589223,901.3420512066069
2017-10-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,703.650145747448,598.2561586013965,800.5953013962029
2017-11-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,732.9264470749997,637.4889651206134,829.8995725149497
2017-12-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,683.2595567983007,588.0538522602517,780.0699240165452
2018-01-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,705.2185339843888,607.3876057189261,803.406678688353
2018-02-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,839.5130644576553,739.8401790200855,940.4422382727807
2018-03-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,809.034665092485,710.8311749267075,915.538874294723
2018-04-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,1013.0379618251982,907.1523790865627,1114.4830448382438
2018-05-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,925.3488807049415,824.1034932277738,1023.2505858302821
2018-06-01,Vit/Min/Prot/Unconv Diet(Human/Animal),Prophet,985.0616473311659,877.3999619105666,1086.0776177555267
2017-07-01,Cosmetics,Prophet,529.3316339951689,457.89340170189564,595.8665952608926
2017-08-01,Cosmetics,Prophet,1169.761297512342,1096.7244008052082,1240.0037829114221
2017-09-01,Cosmetics,Prophet,637.5629087037249,566.5639192720333,709.9530321175332
2017-10-01,Cosmetics,Prophet,777.084453330967,706.756817935776,843.4940677592076
2017-11-01,Cosmetics,Prophet,515.7206687710897,443.0426825161963,589.0333187143918
2017-12-01,Cosmetics,Prophet,630.9847510568437,556.5580124534947,704.5616303995391
2018-01-01,Cosmetics,Prophet,396.95351480789327,322.0162757827338,465.0894929132949
2018-02-01,Cosmetics,Prophet,374.6834212393833,306.5024800277467,445.36495635325326
2018-03-01,Cosmetics,Prophet,433.5727090631429,363.4515966894969,497.43827710677687
2018-04-01,Cosmetics,Prophet,778.932752394058,708.854780535169,852.4020232409534
2018-05-01,Cosmetics,Prophet,385.95543390055377,313.61388731498994,459.2199297719358
2018-06-01,Cosmetics,Prophet,537.8743281069025,464.7968108664081,605.880784374826
2017-07-01,Nuts/Edible Seed,Prophet,8.267635705478707,-23.47184043554591,43.94308715996768
2017-08-01,Nuts/Edible Seed,Prophet,10.297977716111584,-22.093666504696305,45.62595131269561
2017-09-01,Nuts/Edible Seed,Prophet,9.557075031507912,-23.722380285619753,41.0359158919444
2017-10-01,Nuts/Edible Seed,Prophet,4.1319530780867915,-32.342194543265265,37.36504899398481
2017-11-01,Nuts/Edible Seed,Prophet,4.72210531130722,-29.96417921445853,40.76670209192587
2017-12-01,Nuts/Edible Seed,Prophet,4.968585671312788,-29.561389055021856,40.33412717095652
2018-01-01,Nuts/Edible Seed,Prophet,4.462235654102568,-27.85705460345828,40.25421946859926
2018-02-01,Nuts/Edible Seed,Prophet,5.952606789697029,-28.241522354770364,37.077047579134565
2018-03-01,Nuts/Edible Seed,Prophet,10.2240422152436,-21.164151909671904,44.65570247690224
2018-04-01,Nuts/Edible Seed,Prophet,5.120221317526355,-30.946045449662527,40.57904762862725
2018-05-01,Nuts/Edible Seed,Prophet,4.68707139701183,-31.435722066771422,39.52588977007262
2018-06-01,Nuts/Edible Seed,Prophet,5.254136393750832,-27.243063427705017,37.699532866155195
2017-07-01,Vegetables/Vegetable Products,Prophet,13.198355541154811,-0.5518342918536285,26.840417031688077
2017-08-01,Vegetables/Vegetable Products,Prophet,13.68265206349793,0.40155872037258283,27.570577258453646
2017-09-01,Vegetables/Vegetable Products,Prophet,13.7835935866031,-0.7317223993823908,27.906445482497517
2017-10-01,Vegetables/Vegetable Products,Prophet,13.045482131697366,-1.4872525288340637,27.45249549255573
2017-11-01,Vegetables/Vegetable Products,Prophet,16.17773619871531,1.1507486868049341,29.760654282965227
2017-12-01,Vegetables/Vegetable Products,Prophet,10.105694654824543,-4.72657566043237,24.695940793817854
2018-01-01,Vegetables/Vegetable Products,Prophet,14.419466449212122,0.38413798506239816,28.294241327677693
2018-02-01,Vegetables/Vegetable Products,Prophet,11.057952866944175,-3.2004705524553354,25.77461450679722
2018-03-01,Vegetables/Vegetable Products,Prophet,10.646109334260242,-3.095328572802391,25.747449849320954
2018-04-01,Vegetables/Vegetable Products,Prophet,8.779994772636641,-6.104241601731042,22.321875031077433
2018-05-01,Vegetables/Vegetable Products,Prophet,12.41145088053337,-2.519905246089474,25.60457100405526
2018-06-01,Vegetables/Vegetable Products,Prophet,15.560932445328726,1.4707575464214286,29.18629101449532
2017-07-01,Soft Drink/Water,Prophet,14.528343203148193,7.175772664712558,22.261928598048463
2017-08-01,Soft Drink/Water,Prophet,14.545412313916794,7.641280673053528,21.751854667619533
2017-09-01,Soft Drink/Water,Prophet,12.254000911528571,4.910891307462262,18.848910329784456
2017-10-01,Soft Drink/Water,Prophet,13.13753044799368,5.409906533026704,20.60657821383992
2017-11-01,Soft Drink/Water,Prophet,13.258340857390683,5.749290788213824,20.561148265767525
2017-12-01,Soft Drink/Water,Prophet,11.650422908625922,3.934178819754249,19.30882175888009
2018-01-01,Soft Drink/Water,Prophet,13.491695327612552,6.421986066680042,20.738502021849722
2018-02-01,Soft Drink/Water,Prophet,10.299074091055646,3.0227888399220935,17.345479347151816
2018-03-01,Soft Drink/Water,Prophet,14.672152905338551,7.709552110410022,22.064684670226132
2018-04-01,Soft Drink/Water,Prophet,11.258939375965129,3.7926176416406006,18.469686387660868
2018-05-01,Soft Drink/Water,Prophet,10.910030972146396,3.5980279075110206,18.227531969466426
2018-06-01,Soft Drink/Water,Prophet,12.827079940770146,5.459739633350081,20.331685195073224
2017-07-01,Bakery Prod/Dough/Mix/Icing,Prophet,7.35828949110552,-10.887383066704105,25.800505076629335
2017-08-01,Bakery Prod/Dough/Mix/Icing,Prophet,6.288092181333682,-11.951633613999364,23.967557992057426
2017-09-01,Bakery Prod/Dough/Mix/Icing,Prophet,7.403007165373766,-10.035620783222257,25.61516710193132
2017-10-01,Bakery Prod/Dough/Mix/Icing,Prophet,7.355011092227186,-10.862763456208183,25.882010260366684
2017-11-01,Bakery Prod/Dough/Mix/Icing,Prophet,7.355260293854016,-11.541126480294793,23.575046274613694
2017-12-01,Bakery Prod/Dough/Mix/Icing,Prophet,6.753448245741963,-11.464980672343486,24.551602137511086
2018-01-01,Bakery Prod/Dough/Mix/Icing,Prophet,11.248896790963531,-7.431253685672723,29.611360131527295
2018-02-01,Bakery Prod/Dough/Mix/Icing,Prophet,11.7393090981578,-7.454261577673777,28.641185563737245
2018-03-01,Bakery Prod/Dough/Mix/Icing,Prophet,9.330041729722517,-8.109106341945996,28.18475040404087
2018-04-01,Bakery Prod/Dough/Mix/Icing,Prophet,6.485618249681216,-11.748520345298418,24.150864350282788
2018-05-01,Bakery Prod/Dough/Mix/Icing,Prophet,5.559301927292788,-11.977619200866496,25.047577703917423
2018-06-01,Bakery Prod/Dough/Mix/Icing,Prophet,5.657610185752307,-11.26887928861081,24.198412834758845
